> best$eventData
[[1]]
   node      time      lam1          lam2        mu1 mu2 index
1  1328  0.000000 0.2122217 -0.0062487100 0.01078288   0     1
2  2606  6.908603 0.3626283 -0.0604467667 0.02617933   0     2
3  2178 25.258333 0.4515777 -0.0002363533 0.09736887   0     3
4  1924 25.811367 0.4617620 -0.0146189333 0.19253700   0     4
5  1836 26.170667 0.5669117 -0.0097975673 0.16943083   0     5
6  1756 29.252900 0.5231843 -0.0516111333 0.06461280   0     6
7  2061 29.613333 0.6976503 -0.0351158333 0.05183103   0     7
8  2469 30.469200 1.0282500 -0.0309383700 0.19813800   0     8
9  1637 30.878300 0.8078567  0.0242953000 0.20341827   0     9
10 1358 31.643967 1.1530733 -0.0303749333 0.52270600   0    10
11 1479 32.474600 0.8146160 -0.0941526667 0.04494363   0    11
12 2183 32.926400 1.2857967 -0.0405763333 0.13811513   0    12
13 1717 34.712567 1.2482653 -0.0304150000 0.16347127   0    13
