generation,rank_1,rank_2,swapAccepted
1000,1,3,1
2000,2,4,1
3000,1,4,1
4000,1,3,1
5000,3,4,1
6000,1,3,1
7000,1,4,1
8000,2,3,1
9000,2,3,1
10000,1,2,1
11000,1,3,1
12000,2,3,1
13000,1,2,1
14000,1,4,1
15000,1,3,1
16000,2,4,1
17000,3,4,1
18000,1,2,1
19000,2,3,1
20000,1,4,1
21000,2,4,1
22000,1,4,1
23000,1,3,1
24000,1,2,1
25000,1,2,1
26000,1,3,1
27000,3,4,1
28000,3,4,1
29000,1,3,1
30000,2,4,1
31000,1,2,1
32000,1,4,1
33000,3,4,1
34000,2,3,1
35000,1,3,1
36000,1,4,1
37000,2,3,1
38000,2,4,1
39000,1,3,1
40000,2,3,1
41000,2,4,1
42000,1,4,1
43000,3,4,1
44000,1,2,1
45000,3,4,1
46000,3,4,1
47000,2,4,1
48000,2,4,1
49000,1,3,1
50000,2,3,1
51000,3,4,1
52000,2,3,1
53000,2,4,1
54000,2,4,1
55000,2,4,1
56000,2,3,1
57000,1,2,1
58000,2,3,1
59000,1,3,1
60000,1,2,1
61000,3,4,1
62000,2,3,1
63000,1,3,1
64000,2,3,1
65000,1,2,1
66000,3,4,1
67000,2,3,1
68000,2,4,0
69000,1,4,1
70000,2,3,0
71000,1,4,1
72000,2,3,1
73000,3,4,1
74000,1,4,1
75000,2,3,1
76000,1,2,0
77000,1,3,1
78000,2,4,1
79000,1,4,1
80000,2,3,1
81000,3,4,1
82000,2,3,1
83000,2,3,1
84000,1,2,1
85000,2,4,1
86000,3,4,1
87000,2,4,1
88000,3,4,1
89000,1,4,0
90000,1,4,1
91000,3,4,1
92000,1,4,1
93000,2,3,1
94000,2,3,1
95000,1,4,1
96000,2,3,1
97000,1,3,1
98000,1,4,1
99000,3,4,1
100000,1,3,1
101000,1,4,1
102000,1,4,1
103000,2,3,1
104000,2,3,1
105000,3,4,1
106000,1,3,1
107000,1,4,1
108000,1,3,1
109000,3,4,1
110000,1,3,1
111000,1,4,1
112000,2,4,1
113000,1,3,1
114000,2,3,1
115000,1,4,1
116000,2,4,0
117000,2,4,1
118000,2,3,1
119000,2,4,1
120000,3,4,1
121000,1,3,1
122000,2,4,0
123000,1,2,1
124000,1,2,1
125000,2,3,1
126000,2,3,1
127000,2,4,1
128000,2,4,1
129000,1,3,1
130000,1,4,0
131000,2,4,1
132000,1,4,0
133000,2,3,1
134000,1,3,1
135000,1,2,1
136000,3,4,1
137000,1,3,1
138000,2,4,1
139000,1,2,1
140000,2,3,1
141000,1,2,1
142000,1,2,1
143000,1,4,1
144000,3,4,1
145000,2,4,1
146000,2,4,0
147000,1,3,1
148000,1,2,0
149000,2,3,1
150000,3,4,1
151000,1,3,1
152000,3,4,1
153000,1,2,0
154000,1,3,1
155000,3,4,1
156000,2,4,1
157000,2,4,1
158000,1,2,1
159000,1,2,1
160000,2,4,1
161000,2,3,1
162000,1,3,1
163000,3,4,1
164000,3,4,1
165000,1,3,1
166000,1,4,0
167000,3,4,1
168000,1,3,1
169000,3,4,1
170000,2,4,1
171000,1,3,1
172000,3,4,1
173000,2,4,1
174000,1,4,0
175000,3,4,1
176000,2,4,1
177000,1,2,0
178000,1,3,0
179000,1,4,0
180000,2,3,1
181000,2,3,1
182000,2,4,1
183000,2,4,1
184000,2,3,1
185000,1,3,1
186000,1,2,1
187000,1,3,1
188000,1,2,1
189000,3,4,1
190000,2,4,0
191000,1,3,1
192000,3,4,0
193000,2,4,1
194000,3,4,1
195000,2,4,1
196000,2,4,0
197000,1,3,1
198000,3,4,1
199000,2,4,0
200000,1,3,1
201000,1,3,1
202000,2,4,1
203000,1,3,1
204000,3,4,1
205000,2,4,1
206000,1,3,1
207000,1,2,0
208000,2,3,1
209000,1,4,1
210000,2,4,1
211000,1,2,1
212000,3,4,1
213000,3,4,0
214000,1,3,1
215000,1,2,1
216000,2,3,1
217000,1,2,1
218000,1,4,1
219000,1,4,1
220000,1,3,1
221000,1,4,1
222000,1,3,1
223000,2,3,1
224000,1,3,1
225000,2,4,1
226000,1,4,0
227000,2,3,1
228000,2,4,0
229000,2,3,1
230000,1,2,1
231000,2,4,1
232000,3,4,1
233000,2,4,0
234000,3,4,1
235000,2,4,1
236000,1,3,1
237000,1,2,1
238000,2,4,1
239000,2,4,1
240000,1,4,0
241000,2,4,1
242000,1,4,0
243000,3,4,1
244000,2,3,1
245000,2,3,1
246000,1,3,1
247000,1,3,1
248000,1,2,1
249000,2,3,1
250000,1,4,1
251000,2,4,1
252000,3,4,1
253000,2,4,1
254000,2,3,1
255000,2,3,1
256000,3,4,1
257000,1,2,1
258000,2,4,1
259000,2,4,0
260000,1,3,1
261000,1,4,0
262000,1,4,1
263000,1,3,1
264000,1,3,0
265000,1,2,1
266000,1,4,1
267000,1,3,1
268000,1,3,1
269000,1,4,1
270000,2,3,1
271000,3,4,1
272000,2,3,1
273000,2,4,1
274000,3,4,1
275000,2,4,1
276000,2,3,1
277000,2,4,1
278000,1,2,1
279000,1,3,1
280000,3,4,1
281000,3,4,1
282000,1,2,1
283000,1,3,1
284000,1,3,1
285000,1,4,1
286000,2,4,1
287000,2,4,1
288000,1,4,1
289000,1,2,1
290000,1,2,1
291000,2,4,1
292000,3,4,1
293000,3,4,1
294000,2,3,1
295000,1,2,1
296000,2,3,0
297000,2,4,0
298000,1,3,1
299000,3,4,1
300000,3,4,1
301000,2,4,0
302000,1,4,1
303000,1,4,1
304000,3,4,1
305000,1,3,0
306000,3,4,1
307000,1,4,1
308000,3,4,1
309000,1,4,1
310000,1,4,1
311000,2,4,1
312000,3,4,1
313000,2,4,0
314000,1,2,1
315000,2,3,1
316000,2,3,1
317000,1,2,0
318000,2,3,1
319000,2,3,1
320000,1,2,1
321000,2,4,1
322000,2,3,1
323000,3,4,1
324000,3,4,1
325000,3,4,1
326000,2,4,1
327000,2,4,1
328000,2,3,1
329000,1,3,1
330000,2,4,1
331000,1,2,1
332000,1,2,1
333000,1,4,0
334000,1,3,0
335000,3,4,1
336000,2,3,1
337000,1,4,1
338000,1,2,1
339000,1,3,1
340000,1,3,1
341000,1,4,1
342000,1,3,1
343000,3,4,1
344000,1,3,0
345000,1,2,1
346000,1,2,1
347000,2,4,1
348000,1,4,1
349000,3,4,1
350000,2,4,1
351000,2,3,1
352000,1,2,1
353000,1,3,1
354000,1,4,1
355000,1,3,0
356000,3,4,1
357000,3,4,1
358000,2,4,1
359000,1,3,1
360000,2,3,1
361000,3,4,1
362000,2,4,1
363000,2,3,1
364000,2,3,1
365000,1,4,1
366000,2,3,1
367000,1,2,1
368000,1,4,1
369000,1,4,0
370000,1,2,1
371000,1,2,1
372000,3,4,1
373000,1,4,1
374000,3,4,1
375000,1,4,1
376000,1,3,1
377000,3,4,1
378000,1,4,1
379000,3,4,1
380000,2,4,1
381000,1,4,1
382000,1,4,0
383000,1,4,0
384000,2,4,1
385000,1,4,1
386000,1,3,1
387000,1,2,1
388000,1,2,1
389000,1,4,1
390000,3,4,1
391000,1,2,1
392000,1,2,1
393000,2,4,1
394000,2,4,1
395000,1,2,1
396000,1,2,1
397000,1,4,1
398000,1,2,1
399000,1,4,1
400000,1,4,0
401000,3,4,1
402000,2,4,1
403000,1,3,0
404000,1,2,1
405000,1,4,1
406000,2,3,1
407000,1,3,1
408000,1,2,1
409000,3,4,1
410000,3,4,1
411000,1,4,1
412000,3,4,1
413000,1,3,1
414000,1,2,1
415000,1,4,1
416000,1,3,1
417000,1,2,1
418000,2,3,1
419000,1,2,1
420000,1,3,1
421000,2,3,1
422000,1,2,1
423000,2,3,1
424000,1,4,1
425000,1,4,1
426000,1,4,1
427000,1,2,1
428000,1,4,1
429000,1,4,1
430000,1,4,1
431000,2,3,1
432000,2,4,1
433000,2,3,1
434000,1,4,1
435000,1,3,0
436000,2,4,1
437000,1,4,1
438000,1,2,1
439000,2,3,1
440000,1,2,1
441000,3,4,1
442000,2,4,1
443000,2,4,1
444000,2,3,1
445000,1,4,1
446000,2,4,1
447000,3,4,1
448000,1,3,1
449000,1,3,1
450000,3,4,1
451000,1,2,0
452000,1,3,1
453000,1,3,1
454000,1,4,1
455000,2,4,1
456000,2,3,1
457000,1,2,0
458000,2,4,1
459000,1,2,1
460000,1,2,1
461000,1,3,1
462000,2,4,1
463000,2,3,1
464000,1,4,1
465000,2,4,1
466000,1,2,1
467000,2,4,1
468000,3,4,1
469000,1,4,1
470000,2,4,1
471000,1,2,1
472000,2,4,1
473000,2,4,1
474000,3,4,1
475000,1,4,1
476000,2,3,1
477000,1,4,1
478000,2,4,1
479000,1,3,1
480000,1,4,1
481000,1,2,1
482000,3,4,1
483000,2,3,1
484000,2,4,1
485000,3,4,1
486000,1,3,1
487000,2,3,1
488000,1,2,1
489000,1,3,1
490000,1,3,0
491000,3,4,1
492000,2,4,0
493000,1,3,1
494000,1,4,0
495000,1,4,0
496000,2,3,1
497000,1,3,0
498000,1,2,1
499000,1,3,1
500000,2,3,1
501000,1,2,1
502000,2,4,0
503000,1,3,1
504000,1,3,1
505000,1,2,1
506000,1,3,1
507000,3,4,1
508000,1,4,1
509000,1,3,1
510000,1,2,1
511000,2,4,1
512000,1,3,1
513000,1,4,1
514000,1,3,1
515000,2,3,1
516000,1,3,1
517000,3,4,1
518000,3,4,1
519000,1,2,0
520000,3,4,1
521000,3,4,1
522000,3,4,0
523000,1,4,0
524000,2,3,1
525000,2,3,1
526000,1,3,1
527000,2,3,1
528000,1,3,0
529000,1,4,1
530000,3,4,1
531000,1,4,0
532000,2,4,1
533000,3,4,1
534000,1,4,1
535000,2,4,1
536000,2,3,1
537000,2,4,0
538000,1,3,1
539000,2,3,1
540000,1,2,1
541000,2,4,0
542000,1,3,1
543000,1,3,1
544000,2,4,1
545000,1,4,1
546000,1,4,1
547000,2,4,1
548000,1,4,1
549000,3,4,1
550000,1,2,1
551000,2,4,1
552000,1,3,1
553000,2,4,1
554000,1,2,1
555000,2,4,1
556000,1,2,1
557000,1,3,1
558000,1,2,0
559000,2,4,1
560000,2,3,1
561000,3,4,1
562000,1,3,1
563000,3,4,1
564000,2,3,1
565000,1,4,1
566000,3,4,1
567000,1,3,1
568000,1,4,1
569000,3,4,1
570000,1,4,0
571000,2,4,0
572000,1,4,0
573000,3,4,1
574000,3,4,1
575000,2,4,1
576000,2,3,1
577000,2,3,1
578000,1,2,1
579000,1,4,1
580000,1,2,1
581000,2,3,1
582000,2,4,1
583000,1,4,0
584000,2,4,0
585000,3,4,1
586000,1,4,1
587000,3,4,1
588000,2,3,1
589000,2,3,0
590000,1,3,1
591000,1,2,1
592000,2,4,1
593000,2,3,1
594000,1,4,0
595000,1,3,0
596000,2,3,1
597000,1,4,1
598000,3,4,1
599000,1,3,1
600000,1,2,1
601000,1,3,0
602000,1,4,0
603000,1,3,1
604000,2,4,1
605000,1,2,1
606000,1,2,0
607000,1,4,1
608000,2,3,1
609000,1,2,0
610000,1,2,0
611000,1,2,1
612000,1,3,1
613000,1,4,1
614000,3,4,1
615000,3,4,1
616000,2,3,1
617000,1,4,1
618000,3,4,1
619000,3,4,1
620000,1,3,1
621000,1,4,0
622000,1,3,1
623000,1,4,1
624000,1,2,1
625000,2,3,1
626000,2,4,1
627000,2,3,1
628000,1,4,1
629000,1,4,1
630000,3,4,1
631000,2,3,1
632000,3,4,1
633000,3,4,1
634000,1,2,1
635000,1,2,1
636000,1,2,1
637000,1,3,0
638000,2,3,1
639000,1,3,1
640000,1,2,1
641000,3,4,1
642000,2,4,1
643000,2,4,0
644000,2,3,1
645000,1,4,1
646000,1,4,1
647000,1,4,1
648000,3,4,1
649000,1,3,1
650000,1,2,1
651000,3,4,1
652000,1,4,1
653000,3,4,1
654000,2,4,1
655000,2,4,0
656000,1,3,1
657000,2,3,1
658000,1,2,1
659000,2,3,1
660000,2,3,1
661000,2,4,1
662000,2,3,1
663000,1,4,1
664000,1,2,1
665000,2,4,0
666000,2,4,0
667000,2,3,1
668000,1,2,1
669000,1,4,1
670000,3,4,1
671000,1,3,1
672000,2,4,1
673000,3,4,1
674000,1,2,1
675000,1,2,1
676000,2,4,0
677000,1,4,1
678000,2,3,1
679000,1,3,0
680000,2,3,0
681000,1,2,1
682000,2,4,1
683000,2,3,1
684000,3,4,1
685000,1,2,1
686000,3,4,1
687000,1,4,1
688000,1,3,1
689000,2,3,1
690000,1,4,1
691000,1,3,1
692000,1,3,1
693000,3,4,1
694000,2,4,1
