generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.032,0,0.005,0
1000,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.155037,0.0796374,0.119827,0
2000,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.182255,0.062692,0.169005,0
3000,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.176198,0.0472407,0.146422,0
4000,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.199596,0.0329724,0.157717,0
5000,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.214437,0.0161525,0.113892,0
6000,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.234934,0.0147444,0.139437,0
7000,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.234218,0.0103606,0.12417,0
7000,Carex_pendula|FRA|spm00007935,NA,30.1262,0.211045,0.0344152,0.573628,0
8000,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.221312,0.0197021,0.147232,0
9000,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.221602,0.0138111,0.124784,0
10000,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.233529,0.0200511,0.169401,0
10000,Carex_himalaica|EHM|spm00005741,NA,23.4351,0.125367,0.120961,0.382175,0
11000,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.271997,0.00875912,0.170755,0
12000,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.277515,0.00979677,0.180016,0
13000,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.229939,0.0207326,0.173285,0
14000,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.245354,0.0162647,0.171139,0
14000,Carex_helodes|POR|NCBI_Jose_2346,NA,36.3864,0.165823,0.000384306,0.384471,0
15000,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.192127,0.0260314,0.116192,0
16000,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.185577,0.0353581,0.127081,0
17000,Carex_vacillans|MAI|spm00001889,Carex_subcapitata|CH|NCBI_Jin_2301,0,0.164111,0.0947827,0.157586,0
