generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.120855,-5208.39,1,0
1000,0,-0.517312,-3492.24,0.13188,0.235764
2000,0,-0.264372,-3490.2,0.284911,0.181
3000,0,0.356428,-3491.01,0.0324704,0.190936
4000,0,-1.54093,-3490.04,2.12403,0.1875
5000,0,-0.0175662,-3490.56,0.794911,0.163
6000,0,-0.442962,-3489.71,1.18297,0.167
7000,1,0.893522,-3493.41,0.0207783,0.18575
8000,0,0.389817,-3489.45,0.321859,0.227
9000,0,0.417023,-3490.22,0.356297,0.174
10000,1,-2.95743,-3490.27,1.35593,0.188681
11000,0,0.698989,-3488.66,0.000768968,0.184667
12000,0,-1.67838,-3489.87,2.35951,0.163
13000,0,0.389409,-3490.13,0.279254,0.185333
14000,1,0.15821,-3494.65,1.13778,0.186375
15000,0,0.419334,-3490.66,0.294675,0.177333
16000,0,0.410605,-3490.41,0.184553,0.182
17000,0,-0.979427,-3490.55,0.0188323,0.154
18000,0,-0.0297682,-3490.69,0.102068,0.1716
19000,1,-1.84918,-3460.46,1.35666,0.226
20000,1,-2.22115,-3459.57,2.00519,0.205333
21000,2,-2.42819,-3465.3,0.630434,0.333
22000,1,0.339281,-3459.78,0.41746,0.2378
23000,1,-1.12859,-3460.96,0.895527,0.305333
24000,1,-3.67516,-3460.56,3.27462,0.3502
25000,1,-0.776718,-3460.78,1.45303,0.36
26000,1,-0.590938,-3463.15,1.55601,0.3545
27000,1,-0.641078,-3463.26,0.913938,0.325
28000,1,-1.47791,-3460.01,2.11143,0.351
29000,1,-1.26173,-3465.21,2.16475,0.352
30000,1,-0.522791,-3459.24,1.09628,0.372
31000,1,-1.15663,-3460.22,2.30742,0.3649
32000,1,-1.44927,-3463,1.08566,0.365625
33000,1,-1.9828,-3460.51,0.245743,0.402
34000,1,-1.12581,-3463.83,1.03174,0.368
35000,1,-0.615817,-3459.74,0.341894,0.355
36000,1,-0.515964,-3460.39,0.932562,0.366
37000,1,-0.325218,-3459.28,0.45799,0.331
38000,1,-0.985707,-3462.06,0.983883,0.356
39000,2,-6.73984,-3414.53,3.90152,0.366
40000,4,-3.07326,-3403.17,0.677523,0.394
41000,4,-2.80804,-3404.9,3.3557,0.429
42000,4,-7.01889,-3403.44,5.48963,0.39125
43000,3,-4.44456,-3402.39,2.67676,0.392
44000,3,-3.81922,-3403.47,2.55871,0.3753
45000,3,-2.28626,-3401.01,1.64725,0.357
46000,3,-5.48438,-3403.77,2.24761,0.351
47000,4,-10.7642,-3407.24,4.1586,0.319
48000,4,-2.35573,-3399.93,1.61307,0.419
49000,4,0.0217485,-3407.37,0.508294,0.371
50000,3,-0.801891,-3403.93,1.87214,0.403
51000,3,-4.51764,-3409.53,1.2042,0.369
52000,3,-1.08406,-3409.23,1.02372,0.381
53000,4,-2.0496,-3396.94,2.96443,0.385
54000,5,-2.41601,-3386.4,2.57708,0.384
55000,5,-3.4549,-3389.39,3.355,0.37
56000,5,-4.63019,-3381.71,3.58572,0.35
